#{"t_start": 1778815119.3352435, "env_id": "None"}
r,l,t
0.0,3,1.631478
0.0,1,1.63231
0.0,2,1.633515
0.0,3,1.635141
0.0,4,1.636926
0.0,3,1.639127
0.0,1,1.641487
0.0,1,1.642807
0.0,1,1.643818
0.0,4,1.646151
0.0,1,1.647079
0.0,1,1.647746
0.0,1,1.648409
0.0,3,1.64981
0.0,1,1.650382
0.0,3,1.6518
0.0,1,1.652423
0.0,1,1.653186
0.0,2,1.65547
0.0,1,1.657526
0.0,3,1.660047
0.0,1,1.66087
0.0,2,1.662419
0.0,2,1.663548
0.0,2,1.66472
0.0,4,1.666544
0.0,1,1.667186
0.0,4,1.669644
0.0,1,1.672492
0.0,1,1.674004
0.0,5,1.676574
0.0,1,1.677318
0.0,1,1.678143
0.0,1,1.67899
0.0,1,1.67957
0.0,1,1.680348
0.0,1,1.680975
0.0,5,1.683138
0.0,3,1.68524
0.0,2,1.688433
0.0,1,1.689508
0.0,4,1.691697
0.0,1,1.692649
0.0,2,1.693874
0.0,1,1.694532
0.0,1,1.69541
0.0,1,1.696011
0.0,3,1.697399
0.0,1,1.698296
0.0,1,1.699091
0.0,1,1.700113
0.0,5,1.705333
0.0,3,1.707244
0.0,1,1.7079
0.0,3,1.709698
0.0,4,1.711678
0.0,3,1.713147
0.0,1,1.713945
0.0,2,1.715656
0.0,1,1.718019
0.0,1,1.71943
0.0,3,1.721402
0.0,1,1.722184
0.0,1,1.723145
0.0,1,1.724171
0.0,1,1.724894
0.0,1,1.725708
0.0,3,1.727544
0.0,2,1.729254
0.0,1,1.731162
0.0,2,1.734713
0.0,4,1.737909
0.0,3,1.739817
0.0,1,1.74045
0.0,1,1.740994
0.0,5,1.743713
0.0,3,1.746257
0.0,1,1.748724
0.0,1,1.75039
0.0,3,1.75276
0.0,1,1.753575
0.0,2,1.754989
0.0,1,1.75574
0.0,1,1.756369
0.0,2,1.757658
0.0,1,1.758452
0.0,3,1.760007
0.0,1,1.76062
0.0,1,1.76288
0.0,2,1.766158
0.0,1,1.767331
0.0,1,1.768081
0.0,2,1.769093
0.0,1,1.769692
0.0,2,1.770799
0.0,1,1.771616
0.0,4,1.773611
0.0,1,1.774369
0.0,2,1.775527
0.0,1,1.776606
0.0,2,1.779741
0.0,2,1.782334
0.0,3,1.79098
0.0,1,1.792199
0.0,2,1.794909
0.0,6,1.797935
0.0,2,1.798904
0.0,1,1.79953
0.0,3,1.801001
0.0,5,1.8033
0.0,1,1.803889
0.0,1,1.804466
0.0,1,1.805138
0.0,2,1.806084
0.0,3,1.80864
0.0,3,1.811376
0.0,1,1.81199
0.0,1,1.812826
0.0,1,1.813356
0.0,1,1.813884
0.0,2,1.815054
0.0,1,1.815717
0.0,3,1.817563
0.0,1,1.818475
0.0,1,1.81964
0.0,1,1.82054
0.0,1,1.821507
0.0,1,1.82423
0.0,4,1.828275
0.0,4,1.831044
0.0,1,1.831945
0.0,5,1.834285
0.0,1,1.834982
0.0,1,1.835754
0.0,3,1.837382
0.0,6,1.843606
0.0,3,1.84574
0.0,2,1.847871
0.0,3,1.849593
0.0,1,1.850401
0.0,3,1.851996
0.0,2,1.8544
0.0,1,1.856439
0.0,2,1.857747
0.0,1,1.858576
0.0,1,1.85922
0.0,5,1.861716
0.0,2,1.863003
0.0,1,1.863765
0.0,4,1.865914
0.0,3,1.867835
0.0,3,1.870591
0.0,1,1.87147
0.0,2,1.872675
0.0,1,1.873342
0.0,1,1.874658
0.0,1,1.875432
0.0,1,1.876412
0.0,2,1.877414
0.0,1,1.8781
0.0,1,1.879103
0.0,1,1.880067
0.0,2,1.881051
0.0,1,1.881758
0.0,1,1.882875
0.0,4,1.885305
0.0,1,1.886221
0.0,1,1.886972
0.0,1,1.887624
0.0,1,1.888361
0.0,1,1.888968
0.0,3,1.89048
0.0,1,1.891327
0.0,1,1.892082
0.0,5,1.894258
0.0,1,1.89485
0.0,1,1.895588
0.0,1,1.896175
0.0,3,1.897877
0.0,3,1.899582
0.0,1,1.9003
0.0,1,1.901176
0.0,3,1.90255
0.0,2,1.903645
0.0,2,1.904876
0.0,1,1.905562
0.0,1,1.906235
0.0,2,1.907346
0.0,5,1.910376
0.0,3,1.912975
0.0,1,1.914479
0.0,2,1.918236
0.0,3,1.922724
0.0,3,1.927336
0.0,1,1.929912
0.0,1,1.932282
0.0,1,1.933284
0.0,1,1.934117
0.0,4,1.936022
0.0,4,1.937966
0.0,1,1.938597
0.0,1,1.939424
0.0,3,1.940942
0.0,1,1.941505
0.0,2,1.942438
0.0,3,1.943875
0.0,2,1.947203
0.0,1,1.948825
0.0,1,1.949761
0.0,1,1.950545
0.0,1,1.951269
0.0,1,1.951837
0.0,3,1.953209
0.0,1,1.954061
0.0,1,1.954648
0.0,1,1.955332
0.0,1,1.956082
0.0,3,1.957427
0.0,1,1.957917
0.0,1,1.958617
0.0,1,1.959202
0.0,2,1.961641
0.0,3,1.964371
0.0,1,1.964956
0.0,3,1.96636
0.0,1,1.967013
0.0,2,1.967911
0.0,1,1.968499
0.0,4,1.970136
0.0,1,1.970735
0.0,3,1.972132
0.0,1,1.972682
0.0,1,1.973379
0.0,3,1.974678
0.0,1,1.976003
0.0,1,1.978704
0.0,1,1.97991
0.0,1,1.980889
0.0,1,1.981596
0.0,4,1.983387
0.0,1,1.983965
0.0,4,1.985767
0.0,2,1.986639
0.0,2,1.987606
0.0,1,1.988248
0.0,1,1.989049
0.0,1,1.98978
0.0,1,1.990965
0.0,1,1.993187
0.0,1,1.994958
0.0,3,1.996461
0.0,2,1.997523
0.0,1,1.998099
0.0,1,1.998719
0.0,1,1.999464
0.0,1,2.000031
0.0,1,2.00077
0.0,3,2.002054
0.0,1,2.002698
0.0,1,2.003297
0.0,1,2.003843
0.0,1,2.004433
0.0,3,2.006255
0.0,1,2.008438
0.0,1,2.152029
0.0,4,2.155652
0.0,1,2.156763
0.0,1,2.15771
0.0,1,2.159108
0.0,1,2.160753
0.0,1,2.161771
0.0,1,2.162665
0.0,1,2.163929
0.0,1,2.164957
0.0,1,2.165953
0.0,3,2.167654
0.0,1,2.168527
0.0,1,2.17042
0.0,2,2.172045
0.0,1,2.173101
0.0,1,2.174178
0.0,5,2.178038
0.0,1,2.178983
0.0,3,2.180592
0.0,1,2.181474
0.0,1,2.182202
0.0,1,2.182939
0.0,1,2.183569
0.0,1,2.184573
0.0,3,2.186189
0.0,1,2.186782
0.0,1,2.187392
0.0,4,2.191556
0.0,4,2.195588
0.0,1,2.196522
0.0,1,2.197183
0.0,4,2.19948
0.0,1,2.200607
0.0,1,2.201326
0.0,1,2.202169
0.0,1,2.203136
0.0,2,2.204577
0.0,1,2.206002
0.0,2,2.208023
0.0,3,2.209579
0.0,3,2.211269
0.0,3,2.21291
0.0,1,2.213838
0.0,2,2.215025
0.0,1,2.215683
0.0,6,2.218331
0.0,1,2.219467
0.0,3,2.222516
0.0,1,2.224111
0.0,3,2.225974
0.0,1,2.227234
0.0,1,2.227951
0.0,1,2.228687
0.0,1,2.229346
0.0,1,2.229898
0.0,1,2.230685
0.0,3,2.232335
0.0,1,2.232886
0.0,3,2.234607
0.0,1,2.235838
0.0,1,2.238276
0.0,4,2.242119
0.0,4,2.243921
0.0,2,2.245379
0.0,1,2.246077
0.0,1,2.246931
0.0,3,2.248317
0.0,1,2.249094
0.0,3,2.251361
0.0,5,2.256386
0.0,1,2.257583
0.0,1,2.258393
0.0,1,2.259356
0.0,3,2.260751
0.0,3,2.262148
0.0,1,2.262889
0.0,3,2.264395
0.0,1,2.265033
0.0,1,2.266245
0.0,3,2.270202
0.0,1,2.271514
0.0,3,2.273162
0.0,1,2.273942
0.0,1,2.274729
0.0,1,2.275465
0.0,1,2.276146
0.0,2,2.27709
0.0,3,2.278454
0.0,1,2.279118
0.0,1,2.27984
0.0,1,2.280425
0.0,1,2.28128
0.0,1,2.282916
0.0,2,2.286958
0.0,1,2.288089
0.0,3,2.289857
0.0,3,2.291284
0.0,1,2.292028
0.0,1,2.292563
0.0,1,2.29351
0.0,1,2.294074
0.0,1,2.294665
0.0,1,2.295372
0.0,2,2.298942
0.0,3,2.301686
0.0,1,2.302537
0.0,4,2.304635
0.0,1,2.305275
0.0,2,2.306247
0.0,1,2.306907
0.0,1,2.307573
0.0,1,2.308394
0.0,2,2.309367
0.0,1,2.310075
0.0,2,2.311086
0.0,1,2.312885
0.0,1,2.315841
0.0,1,2.317103
0.0,1,2.318132
0.0,1,2.318938
0.0,4,2.321099
0.0,3,2.322625
0.0,5,2.325046
0.0,5,2.329417
0.0,1,2.332379
0.0,1,2.333135
0.0,3,2.334925
0.0,2,2.336246
0.0,1,2.337101
0.0,4,2.33906
0.0,5,2.341453
0.0,1,2.342613
0.0,1,2.344527
0.0,3,2.347637
0.0,6,2.350255
0.0,4,2.35256
0.0,1,2.353247
0.0,1,2.354118
0.0,1,2.354901
0.0,3,2.356384
0.0,1,2.357674
0.0,3,2.361504
0.0,2,2.363376
0.0,1,2.364053
0.0,1,2.36475
0.0,4,2.366913
0.0,3,2.368571
0.0,1,2.369456
0.0,4,2.374681
0.0,3,2.37802
0.0,3,2.380324
0.0,1,2.381529
